,JS_divergence
963,0.4710467
964,0.36698365
965,0.18740979
966,0.184727
967,0.4811149
968,0.5260341
969,0.15079501
970,0.20375016
971,0.34975147
972,0.28289336
973,0.2882368
974,0.3771549
975,0.12521255
976,0.18284793
977,0.23111966
978,0.2992285
979,0.2217238
980,0.29446054
981,0.14273636
982,0.25358528
983,0.17137781
984,0.5674856
985,0.17936033
986,0.20878229
987,0.3025979
988,0.44352847
989,0.2743625
990,0.22479606
991,0.22554429
992,0.22437659
993,0.4269036
994,0.25640953
995,0.46441913
996,0.12968385
997,0.19632655
998,0.26805153
999,0.14479668
1000,0.22101557
1001,0.29765037
1002,0.13267766
1003,0.16667157
1004,0.12597446
1005,0.21485251
1006,0.27113664
1007,0.36825314
1008,0.38929704
1009,0.5163059
1010,0.29233137
1011,0.15785432
1012,0.27226844
1013,0.24005398
1014,0.44197053
1015,0.16731948
1016,0.26324826
1017,0.3760664
1018,0.31114632
1019,0.34932727
1020,0.27007425
1021,0.35568154
1022,0.20281707
1023,0.45779538
1024,0.46768802
1025,0.22702987
1026,0.21928275
1027,0.43119466
1028,0.2276325
1029,0.25682873
1030,0.41834447
1031,0.32886195
1032,0.1955182
1033,0.4500254
1034,0.5551187
1035,0.29250425
1036,0.20413867
1037,0.43310034
1038,0.16652606
1039,0.20351939
1040,0.41211116
1041,0.19537489
1042,0.19569644
1043,0.14054017
1044,0.15003182
1045,0.4767398
1046,0.18119475
1047,0.11548294
1048,0.23157445
1049,0.49409828
1050,0.491224
1051,0.25383893
1052,0.26000863
1053,0.286157
1054,0.41251168
1055,0.18185295
1056,0.32263255
1057,0.2175852
1058,0.54003465
1059,0.2759534
1060,0.15276505
1061,0.23084223
1062,0.28290734
1063,0.31407997
1064,0.5223173
1065,0.11639028
1066,0.20365195
1067,0.50948024
1068,0.19122753
1069,0.1679182
1070,0.51353705
1071,0.30502188
1072,0.25340936
1073,0.487808
1074,0.30692703
1075,0.17525142
1076,0.4667967
1077,0.17391166
1078,0.49167877
1079,0.52661645
1080,0.16886461
1081,0.35644946
1082,0.18900216
1083,0.46812254
1084,0.18842715
1085,0.44956946
1086,0.3900553
1087,0.4507277
1088,0.51478726
1089,0.35393047
1090,0.15315971
1091,0.22561614
1092,0.21561421
1093,0.17697202
1094,0.2442573
1095,0.21501143
1096,0.25222987
1097,0.28590113
1098,0.45197698
1099,0.23438972
1100,0.19818047
1101,0.12937507
1102,0.17240646
1103,0.22258237
1104,0.26528955
1105,0.27370843
1106,0.1682567
1107,0.5177538
1108,0.19982274
1109,0.28466517
1110,0.40427455
1111,0.15895438
1112,0.53892064
1113,0.1383548
1114,0.17626229
1115,0.14005582
1116,0.21974385
1117,0.1709002
1118,0.37796715
1119,0.37593275
1120,0.414442
1121,0.19572346
1122,0.16882949
1123,0.17178878
1124,0.28575584
1125,0.53387743
1126,0.19928864
1127,0.16055241
1128,0.49321353
1129,0.4749928
1130,0.15164375
1131,0.15241526
1132,0.22100297
1133,0.28215975
1134,0.4160487
1135,0.32500625
1136,0.33571792
1137,0.33009472
1138,0.29895133
1139,0.20372313
1140,0.39337167
1141,0.24156623
1142,0.22567771
1143,0.5411792
1144,0.1297025
1145,0.2171134
1146,0.5351583
1147,0.41700494
1148,0.207365
1149,0.24591
1150,0.22598797
1151,0.19550642
1152,0.19734007
1153,0.14776939
1154,0.21776569
1155,0.4818569
1156,0.3484641
1157,0.37323362
1158,0.29641944
1159,0.15540245
1160,0.1917443
1161,0.22653732
1162,0.1851559
1163,0.4929064
1164,0.15259585
1165,0.4368034
1166,0.28479958
1167,0.36137694
1168,0.3955059
1169,0.50066864
1170,0.41209567
1171,0.15405816
1172,0.42921713
1173,0.2733137
1174,0.48620582
1175,0.21452588
1176,0.20202586
1177,0.23716949
1178,0.35455242
1179,0.25635457
1180,0.16816448
1181,0.5343823
1182,0.14306912
1183,0.47146213
1184,0.34538546
1185,0.15867785
1186,0.19179828
1187,0.48058432
1188,0.20885956
1189,0.312894
1190,0.14645877
1191,0.23189688
1192,0.16325742
1193,0.31722218
1194,0.14152741
1195,0.5379187
1196,0.26997375
1197,0.22991043
1198,0.44636315
1199,0.30481708
1200,0.43077368
1201,0.46479794
1202,0.1400498
1203,0.23564216
1204,0.2064682
1205,0.17254919
1206,0.18109721
1207,0.13730434
1208,0.17996699
1209,0.27313483
1210,0.3431555
1211,0.21349512
1212,0.1890908
1213,0.12435897
1214,0.31395012
1215,0.50805455
1216,0.39585966
1217,0.23193884
1218,0.12046702
1219,0.19219166
1220,0.21371737
1221,0.30939192
1222,0.37209415
1223,0.38711166
1224,0.22773123
1225,0.2314226
1226,0.42178577
1227,0.09085986
1228,0.14288162
1229,0.26319915
1230,0.41413873
1231,0.33147
1232,0.4497173
1233,0.17601037
1234,0.16215304
1235,0.25660527
1236,0.4020996
1237,0.19363266
1238,0.1396344
1239,0.2638383
1240,0.30513525
1241,0.35252786
1242,0.17053963
1243,0.15952706
1244,0.32370925
1245,0.37070453
1246,0.17988731
1247,0.1920397
1248,0.36029828
1249,0.20444992
1250,0.38515812
1251,0.478803
1252,0.21740383
1253,0.4959888
1254,0.14618948
1255,0.30235958
1256,0.16425335
1257,0.48128116
1258,0.3934255
1259,0.13104673
1260,0.5263834
1261,0.12088683
1262,0.31771237
1263,0.172322
1264,0.1700368
1265,0.1253263
1266,0.16387287
1267,0.43685377
1268,0.34140795
1269,0.44989917
1270,0.14878353
1271,0.101197064
1272,0.51112723
1273,0.3808652
1274,0.38289732
1275,0.18327005
1276,0.5009527
1277,0.49169707
1278,0.34710452
1279,0.3348815
1280,0.49248454
1281,0.21679902
1282,0.5262911
1283,0.17626657
1284,0.2633466
1285,0.45212698
1286,0.18545869
1287,0.17255619
1288,0.18374345
1289,0.145888
1290,0.32855707
1291,0.1779376
1292,0.3394357
1293,0.19716397
1294,0.21481505
1295,0.22091225
1296,0.23384365
1297,0.4789254
1298,0.26753637
1299,0.35686752
1300,0.24198112
1301,0.20700493
1302,0.2948466
1303,0.17073609
1304,0.3144642
1305,0.2029475
1306,0.50530076
1307,0.28354055
1308,0.2055107
1309,0.33883768
1310,0.22919112
1311,0.18266076
1312,0.14795174
1313,0.22254905
1314,0.16223064
1315,0.20194851
1316,0.2797361
1317,0.19444883
1318,0.4612477
1319,0.481197
1320,0.1546789
1321,0.17686917
1322,0.19204769
1323,0.16899768
1324,0.1145159
1325,0.18103993
1326,0.3098768
1327,0.5130438
1328,0.13495103
1329,0.2765075
1330,0.37711012
1331,0.47786784
1332,0.14174396
1333,0.47436625
1334,0.27378136
1335,0.1588629
1336,0.32956702
1337,0.32445237
1338,0.27099723
1339,0.5081865
1340,0.13292205
1341,0.31346005
1342,0.32047457
1343,0.13653071
1344,0.21520609
1345,0.1682333
1346,0.16294897
1347,0.2580741
1348,0.2853161
1349,0.097284794
1350,0.24635941
1351,0.50951916
1352,0.45341274
1353,0.3779369
1354,0.29760963
1355,0.5268631
1356,0.50442886
1357,0.1701943
1358,0.12868215
1359,0.18071046
1360,0.17729431
1361,0.4464388
1362,0.21171118
1363,0.18945402
1364,0.13745072
1365,0.32003587
1366,0.19987562
1367,0.2270061
1368,0.53305334
1369,0.12951459
1370,0.18798627
1371,0.13726786
1372,0.20532736
1373,0.43935722
1374,0.19102627
1375,0.17404209
1376,0.5310917
1377,0.28994533
1378,0.19640222
1379,0.52393675
1380,0.15329489
1381,0.281047
1382,0.22788641
1383,0.20673563
1384,0.5341451
1385,0.17902236
1386,0.518203
1387,0.22606713
1388,0.52836996
1389,0.22375292
1390,0.19833884
1391,0.13533194
1392,0.3695506
1393,0.19759844
1394,0.2725666
1395,0.25013602
1396,0.49212044
1397,0.32398355
1398,0.13315901
1399,0.53830844
1400,0.28660753
1401,0.1955106
1402,0.37393093
1403,0.34698144
1404,0.34329295
1405,0.24132189
1406,0.3743503
1407,0.2271193
1408,0.2451368
1409,0.241215
1410,0.23875791
1411,0.30895138
1412,0.14937873
1413,0.50842255
1414,0.25359622
1415,0.24601747
1416,0.51007664
1417,0.21098222
1418,0.22754416
1419,0.12256411
1420,0.25173175
1421,0.2592668
1422,0.12096605
1423,0.35551438
1424,0.49073192
1425,0.33647153
1426,0.24355572
1427,0.27382493
1428,0.15693562
1429,0.42942935
1430,0.29947388
1431,0.3881871
1432,0.18992075
1433,0.38308328
1434,0.15852675
1435,0.4422375
1436,0.44014984
1437,0.13093346
1438,0.26279393
1439,0.28204486
1440,0.4111122
1441,0.21257973
1442,0.18563308
1443,0.17201586
1444,0.1934399
1445,0.4858721
1446,0.34140807
1447,0.16205853
1448,0.12794308
1449,0.24728313
1450,0.19854015
1451,0.4293058
1452,0.50149196
1453,0.25647593
1454,0.22133231
1455,0.49656612
1456,0.18584977
1457,0.16054814
1458,0.15922847
1459,0.1593669
1460,0.21414812
1461,0.18342137
1462,0.35413563
1463,0.2125951
1464,0.37001973
1465,0.13478014
1466,0.49364263
1467,0.20268059
1468,0.5080621
1469,0.15373173
1470,0.25331137
1471,0.15010366
1472,0.17667273
1473,0.4967791
1474,0.16461772
1475,0.15224135
1476,0.43671688
1477,0.49536335
1478,0.15117574
1479,0.19765054
1480,0.3196187
1481,0.49383575
1482,0.16597639
1483,0.47178477
1484,0.27419072
1485,0.19775493
1486,0.3046487
1487,0.1611369
1488,0.16539565
